Name,Website,One Liner,Batch,Industries,All Locations,YC Profile URL,Status
Groww,https://groww.in,"Making financial services simple, transparent and delightful.",Winter 2018,"Fintech, Asset Management","Bengaluru, KA, India",https://www.ycombinator.com/companies/groww,Public
Meesho,http://www.meesho.com,Democratizing internet commerce for everyone in India,Summer 2016,"B2B, Retail","Bengaluru, KA, India",https://www.ycombinator.com/companies/meesho,Public
Razorpay,https://razorpay.com,India's only full-stack financial solutions company for businesses.,Winter 2015,"Fintech, Payments","Bengaluru, KA, India",https://www.ycombinator.com/companies/razorpay,Active
Zepto,https://www.zeptonow.com/,10-Minute Grocery Delivery in India,Winter 2021,"Consumer, Food and Beverage","MH, India",https://www.ycombinator.com/companies/zepto,Active
RedCarpetUp,http://redcarpetup.com,Credit cards for Indians that banks cannot see,Summer 2015,"Fintech, Consumer Finance","Gurugram, HR, India; Remote",https://www.ycombinator.com/companies/redcarpetup,Active
Drip Capital,http://dripcapital.com,Digital trade finance and B2B commerce company,Summer 2015,Fintech,"MH, India",https://www.ycombinator.com/companies/drip-capital,Active
Clear,https://clear.in/,"Fintech SaaS platform for invoices, taxes, wealth management & credit.",Summer 2014,"Fintech, Consumer Finance","Bengaluru, KA, India",https://www.ycombinator.com/companies/cleartax,Active
Noora Health,http://noorahealth.org,Training patients and their families with health skills,Winter 2014,Healthcare,"Bengaluru, KA, India",https://www.ycombinator.com/companies/noora-health,Active
Bolna AI,https://bolna.ai,Voice AI to enable India's next billion,Fall 2025,B2B,"Bengaluru, KA, India",https://www.ycombinator.com/companies/bolna-ai,Active
Truffle AI,https://www.trytruffle.ai/,AWS for AI Agents,Winter 2025,"B2B, Engineering, Product and Design","Bengaluru, India",https://www.ycombinator.com/companies/truffle-ai,Active
Rowboat Labs,https://www.rowboatlabs.com,Open-source AI coworker with memory,Summer 2024,Consumer,"Bengaluru, India; Remote",https://www.ycombinator.com/companies/rowboat-labs,Active
Paasa,https://paasa.com,Invest in Global Equities from India,Summer 2024,"Fintech, Asset Management","Gurugram, HR, India",https://www.ycombinator.com/companies/paasa,Active
xPay,https://www.xpaycheckout.com/,"International Billing Ops, Sales Tax and Payments for SaaS businesses",Winter 2024,"Fintech, Payments","Bengaluru, India",https://www.ycombinator.com/companies/xpay,Active
Infinity,https://www.infinityapp.in/,Business banking for cross-border SMBs & Startups,Winter 2024,"Fintech, Payments","Bengaluru, KA, India",https://www.ycombinator.com/companies/infinity,Active
Yenmo,https://yenmo.in/,Secured consumer lending in India,Winter 2024,"Fintech, Credit and Lending","Bengaluru, KA, India",https://www.ycombinator.com/companies/yenmo,Active
CORE,https://getcore.me,Your AI butler that understands you really well and proactively acts…,Summer 2023,"B2B, Productivity","Bengaluru, India",https://www.ycombinator.com/companies/heysol,Active
SuperAPI,https://trysuperapi.com,Programmable API gateway that makes APIs cacheable,Winter 2023,"B2B, Infrastructure","Chennai, TN, India; Bengaluru, KA, India",https://www.ycombinator.com/companies/superapi,Active
Mantys,https://www.mantys.io/,ARR Reporting and Forecasting for SaaS companies,Winter 2023,"B2B, Analytics","Bengaluru, KA, India",https://www.ycombinator.com/companies/mantys,Active
Retape,https://www.retape.ai/,AI workers for debt settlement,Winter 2023,"B2B, Sales","Bengaluru, India; Remote",https://www.ycombinator.com/companies/retape,Active
Clueso,https://clueso.io,Create beautiful videos & docs for any product or process in minutes,Winter 2023,"B2B, Engineering, Product and Design","Bengaluru, KA, India",https://www.ycombinator.com/companies/clueso,Active
SuperKalam,https://superkalam.com,AI-Powered Super Mentor for Test Prep,Winter 2023,Education,"Bengaluru, KA, India",https://www.ycombinator.com/companies/superkalam,Active
ClickPe,https://clickpe.ai/,Finance on a Click,Winter 2023,"Fintech, Credit and Lending","Surat, GJ, India",https://www.ycombinator.com/companies/clickpe,Active
DrDroid,https://drdroid.io/,Your best friend in production.,Winter 2023,"B2B, Engineering, Product and Design","Bengaluru, KA, India",https://www.ycombinator.com/companies/drdroid,Active
Cone,https://www.getcone.io,Work operating system for professional service businesses,Summer 2022,"B2B, Finance and Accounting","Hyderabad, Telangana, India; Remote",https://www.ycombinator.com/companies/cone,Active
Landeed,https://www.landeed.com/,"Landeed is India’s digital infrastructure for property intelligence,…",Summer 2022,Fintech,"Hyderabad, Telangana, India",https://www.ycombinator.com/companies/landeed,Active
FlatX,https://www.flatx.co/,AI-Powered Rental Platform for Urban Renters,Summer 2022,"Real Estate and Construction, Housing and Real Estate","Bengaluru, KA, India",https://www.ycombinator.com/companies/flatx,Active
AlgoTest,https://algotest.in,Ecosystem for options trading in India,Summer 2022,Fintech,"Delhi, DL, India",https://www.ycombinator.com/companies/algotest,Active
Sculpt,https://www.sculptcosting.com/,Fully automated should-cost analysis for precision manufacturers.,Summer 2022,"B2B, Engineering, Product and Design","San Francisco, CA, USA; MH, India",https://www.ycombinator.com/companies/sculpt,Active
CompUp,https://www.compup.io,Building a compensation graph to help companies optimise people spend,Summer 2022,"B2B, Human Resources","Bengaluru, KA, India",https://www.ycombinator.com/companies/compup,Active
Maya Labs,https://mayalabs.io,Building self-programming machines,Summer 2022,"B2B, Productivity","Bengaluru, KA, India",https://www.ycombinator.com/companies/maya-labs,Active
100x,https://100x.bot?utm_source=inbound&utm_medium=bookface&utm_campaign=yc&utm_id=122,"Create, Share, and Monetize AI Agents",Summer 2022,"B2B, Productivity","Bengaluru, KA, India",https://www.ycombinator.com/companies/100x,Active
Slidely AI,https://slidely.ai/,"AI for professional PowerPoint presentations, available in PowerPoint",Summer 2022,"B2B, Productivity","Bengaluru, India",https://www.ycombinator.com/companies/slidely-ai,Active
Gullak Money,https://gullak.money,Gullak automates savings & invests these in gold,Summer 2022,Fintech,"Bengaluru, KA, India",https://www.ycombinator.com/companies/gullak-money,Active
Raven,https://startraven.com,AI Assistants for Manufacturing Operations,Summer 2022,"B2B, Engineering, Product and Design","Bengaluru, KA, India",https://www.ycombinator.com/companies/raven,Active
EthosX,https://www.ethosx.finance/,The protocol for derivatives on blockchains,Summer 2022,Fintech,"Claymont, DE, USA; Bengaluru, KA, India; Mumbai, MH, India; Remote",https://www.ycombinator.com/companies/ethosx,Active
Craze,https://www.crazehq.com/?utm_source=yc,"Actually do things with the right AI models, apps and agents for you",Summer 2022,"B2B, Productivity","Mumbai, MH, India",https://www.ycombinator.com/companies/craze,Active
Coupl,https://coupl.money/,Banking designed for Indian couples.,Summer 2022,"Fintech, Banking and Exchange","Bengaluru, KA, India",https://www.ycombinator.com/companies/coupl,Active
SigmaMind AI,https://sigmamind.ai?utm_source=yc&utm_medium=web,Platform to build enterprise-ready voice/chat agents,Summer 2022,B2B,"Bengaluru, KA, India",https://www.ycombinator.com/companies/sigmamind-ai,Active
Clinikally,https://www.clinikally.com/,India's Telemedicine Platform & Online Pharmacy for Dermatology Care,Summer 2022,"Healthcare, Consumer Health and Wellness","Gurugram, HR, India",https://www.ycombinator.com/companies/clinikally,Active
GoSats,https://gosats.io,GoSats helps you earn free bitcoin when you shop in India.,Winter 2022,Fintech,"Bengaluru, KA, India",https://www.ycombinator.com/companies/gosats,Active
Better Opinions,https://betteropinions.in/,Prediction market of India,Winter 2022,"Consumer, Gaming","Bengaluru, India; Gurugram, HR, India; Remote",https://www.ycombinator.com/companies/better-opinions,Active
Material Depot,https://materialdepot.in/,India's Fastest Growing Home Decor destination for Floor & Wall Decor,Winter 2022,Real Estate and Construction,"Bengaluru, KA, India",https://www.ycombinator.com/companies/material-depot,Active
SaveIN,https://www.savein.money/,Making private healthcare in India accessible and affordable,Winter 2022,"Healthcare, Consumer Health and Wellness","Delhi, DL, India",https://www.ycombinator.com/companies/savein,Active
PayCrunch,https://paycrunch.in,Credit Card for college students based on UPI.,Winter 2022,"Fintech, Credit and Lending","Bengaluru, KA, India",https://www.ycombinator.com/companies/paycrunch,Active
Kaagaz,https://kaagaz.app,'Office' Suite for Mobile-first Businesses in India,Winter 2022,Consumer,"New Delhi, DL, India",https://www.ycombinator.com/companies/kaagaz,Active
IMT Care,https://www.imt.care,Disrupting Indian Insurance space by empowering distrubutors,Winter 2022,"Healthcare, Consumer Health and Wellness","MH, India",https://www.ycombinator.com/companies/imt-care,Active
SALT,https://salt.pe,B2B Cross-Border Payment & Compliance Platform,Winter 2022,Fintech,"Bengaluru, KA, India",https://www.ycombinator.com/companies/salt,Active
RecordBook,https://play.google.com/store/apps/details?id=com.foodmonk.rekordapp,Airtable for 400 Million SMBs Globally,Winter 2022,B2B,"Bengaluru, India; Remote",https://www.ycombinator.com/companies/recordbook,Active
RedBrick AI,https://redbrickai.com,Rapid medical data annotation,Winter 2022,B2B,"Claymont, DE, USA; MH, India",https://www.ycombinator.com/companies/redbrick-ai,Active
Streak,https://www.streakcard.com/,A neo-banking platform for children in India,Winter 2022,"Fintech, Payments","Bengaluru, KA, India",https://www.ycombinator.com/companies/streak-2,Active
RDash,https://www.rdash.io,AI Powered Construction Management Software,Winter 2022,"B2B, Infrastructure","Gurugram, HR, India",https://www.ycombinator.com/companies/rdash,Active
Rehook.ai,https://rehook.ai/,"Run, Track and manage any and all user incentive campaigns.",Winter 2022,"B2B, Marketing","Bengaluru, KA, India",https://www.ycombinator.com/companies/rehook-ai,Active
Fieldproxy,http://fieldproxy.com/,Retool for 20 Million Field Teams,Winter 2022,"B2B, Productivity","Chennai, TN, India",https://www.ycombinator.com/companies/fieldproxy,Active
MySivi,https://www.mysivi.ai/,MySivi - AI English Speaking Practice App,Winter 2022,Education,"Bengaluru, KA, India",https://www.ycombinator.com/companies/mysivi,Active
Harmoney,https://www.harmoney.in/,"Agentic AI solution for fixed income, credit and portfolio analysis",Winter 2022,"Fintech, Asset Management","MH, India",https://www.ycombinator.com/companies/harmoney,Active
Sei AI,https://seiright.com/,AI Operations Partner for Mortgage & Banking,Winter 2022,Fintech,"Delhi, DL, India",https://www.ycombinator.com/companies/sei-ai,Active
Apollo,https://www.apollofirst.xyz/,Payments & Loyalty Infrastructure,Winter 2022,Fintech,"Bengaluru, KA, India",https://www.ycombinator.com/companies/apollo-3,Active
Novatr,https://www.novatr.com,"Online cohort based courses for architects, engineers and designers…",Summer 2021,Education,"Gurugram, HR, India; Delhi, DL, India",https://www.ycombinator.com/companies/novatr,Active
Stownest,https://stownest.com,"Flexible On-Demand Storage Space for Household, SMEs & Travellers.",Summer 2021,Consumer,"Bengaluru, KA, India",https://www.ycombinator.com/companies/stownest,Active
Spark Studio,https://sparkstudio.co,The most magical personal Voice-Led AI English Learning Buddy for Kids,Summer 2021,Education,"Bengaluru, KA, India",https://www.ycombinator.com/companies/spark-studio,Active
Enerjazz,https://www.enerjazz.tech/,Making electric vehicle batteries affordable,Summer 2021,"Industrials, Climate","Delhi, DL, India",https://www.ycombinator.com/companies/enerjazz,Active
SalaryBox,https://salarybox.in/,Gusto for India,Summer 2021,"B2B, Human Resources","Gurugram, HR, India",https://www.ycombinator.com/companies/salarybox,Active
Ivy Homes,https://ivy.homes,We make instant offers to buy homes in India,Summer 2021,"Real Estate and Construction, Housing and Real Estate","Bengaluru, KA, India",https://www.ycombinator.com/companies/ivy-homes,Active
AppX,https://appx.co.in,AppX helps social media creators launch their own mobile apps.,Summer 2021,Education,"New Delhi, DL, India",https://www.ycombinator.com/companies/appx,Active
Neodocs,https://www.neodocs.in,Instant lab tests on your smartphone,Summer 2021,Healthcare,"MH, India",https://www.ycombinator.com/companies/neodocs,Active
AlgoUniversity,http://algouniversity.com/,Building Job driven Virtual Tech University for India 🇮🇳,Summer 2021,Education,"Hyderabad, Telangana, India",https://www.ycombinator.com/companies/algouniversity,Active
Swipe,https://getswipe.in,Super AI Accountant for SMBs,Summer 2021,"B2B, Finance and Accounting","Hyderabad, Telangana, India",https://www.ycombinator.com/companies/swipe-2,Active
Advantage Club,https://www.advantageclub.co,Global platform for employee engagement with rewards&flexible benefits,Summer 2021,"B2B, Human Resources","Gurugram, HR, India; San Francisco, CA, USA; Bengaluru, KA, India; Chicago, IL, USA; Mumbai, MH, India; Manila, NCR, Philippines; Dubai, Dubai, United Arab Emirates; Singapore, Singapore",https://www.ycombinator.com/companies/advantage-club,Active
Nino Foods,https://eatnino.com/,Building India's fast food empire,Summer 2021,"Consumer, Food and Beverage","MH, India",https://www.ycombinator.com/companies/nino-foods,Active
Rivia.AI,https://rivia.ai,Interactive Product Demos,Summer 2021,"B2B, Marketing","Bengaluru, KA, India",https://www.ycombinator.com/companies/rivia-ai,Active
